"","Offense","Male","Female","Unknown"
"1","Total",3981337,4222777,63731
"2","Assault Offenses",1145789,1546208,14775
"3","Homicide Offenses",12797,3662,78
"4","Human Trafficking Offenses",335,1659,147
"5","Kidnapping/Abduction",8557,28212,150
"6","Sex Offenses",21803,154726,514
"7","Arson",10819,9365,1204
"8","Bribery",347,211,13
"9","Burglary/Breaking & Entering",279522,239263,3254
"10","Counterfeiting/Forgery",28217,26558,1393
"11","Destruction/Damage/Vandalism",508037,549220,7819
"12","Embezzlement",3391,3071,75
"13","Extortion/Blackmail",9020,3354,39
"14","Fraud Offenses",310312,378690,7630
"15","Larceny/Theft Offenses",1188814,1003049,15985
"16","Motor Vehicle Theft",320919,197047,2693
"17","Robbery",86466,49124,428
"18","Stolen Property Offenses",46192,29358,7534
