"","Offense","Under10","Under15","Under20","Under25","Under30","Under35","Under40","Under45","Under50","Under55","Under60","Under65","Over65","Unknown","Crime_Type"
"1","Robbery",812,3580,16183,20963,18514,16214,13432,10666,8668,7911,7234,5098,5705,1038,"NotGrave"
"2","Embezzlement",10,15,125,349,457,590,680,600,611,619,581,494,1263,143,"NotGrave"
"3","Burglary/Breaking & Entering",2299,2731,19470,48303,56547,57358,53607,46521,42398,41461,41581,35348,67410,7005,"NotGrave"
"4","Destruction/Damage/Vandalism",2390,3255,52537,115237,128312,124755,114773,99933,88356,81557,77720,62329,99641,14281,"NotGrave"
"5","Stolen Property Offenses",956,282,3414,7367,8856,8372,7776,6677,6268,5607,6085,4067,7195,10162,"NotGrave"
"6","Arson",464,276,682,1399,1822,2171,2192,2016,1897,1715,1771,1345,2336,1302,"NotGrave"
"7","Arson",464,276,682,1399,1822,2171,2192,2016,1897,1715,1771,1345,2336,1302,"NotGrave"
"8","Destruction/Damage/Vandalism",2390,3255,52537,115237,128312,124755,114773,99933,88356,81557,77720,62329,99641,14281,"NotGrave"
"9","Assault Offenses",81158,143951,256062,351830,374771,347661,292157,224222,175238,144000,120080,77000,85686,32956,"Grave"
"10","Larceny/Theft Offenses",4923,15171,114153,249039,272370,257696,231340,195676,175193,163137,154999,125770,222164,26217,"Grave"
"11","Assault Offenses",81158,143951,256062,351830,374771,347661,292157,224222,175238,144000,120080,77000,85686,32956,"Grave"
"12","Assault Offenses",81158,143951,256062,351830,374771,347661,292157,224222,175238,144000,120080,77000,85686,32956,"Grave"
"13","Larceny/Theft Offenses",4923,15171,114153,249039,272370,257696,231340,195676,175193,163137,154999,125770,222164,26217,"Grave"
"14","Larceny/Theft Offenses",4923,15171,114153,249039,272370,257696,231340,195676,175193,163137,154999,125770,222164,26217,"Grave"
"15","Larceny/Theft Offenses",4923,15171,114153,249039,272370,257696,231340,195676,175193,163137,154999,125770,222164,26217,"Grave"
"16","Assault Offenses",81158,143951,256062,351830,374771,347661,292157,224222,175238,144000,120080,77000,85686,32956,"Grave"
"17","Larceny/Theft Offenses",4923,15171,114153,249039,272370,257696,231340,195676,175193,163137,154999,125770,222164,26217,"Grave"
